603093;2020;Bezirksliga 9 Männer
603094;2020;Bezirksliga 10 Männer
603095;2020;Bezirksliga 11 Männer
603096;2020;Bezirksliga 6 wU20
603100;2020;Bezirksklasse 29 Frauen
603101;2020;Bezirksklasse 31 Frauen
603102;2020;Bezirksklasse 32 Frauen
603103;2020;Kreisliga Paderborn Frauen
603104;2020;Kreisliga Gütersloh/Bielefeld Frauen
603105;2020;Kreisliga Bochum - Ennepe-Ruhr - Herne Frauen
603112;2020;Bezirksliga 16 U14
603132;2020;Kreisliga Coesfeld Frauen
603139;2020;Bezirksliga 2 wU20
603140;2020;Bezirksklasse 1 Frauen
603141;2020;Bezirksklasse 2 Frauen
603144;2020;Bezirksklasse 3 Frauen
603145;2020;Bezirksklasse 5 Frauen
603147;2020;Bezirksliga 3 wU20
603153;2020;Bezirksliga 1 wU20
603158;2020;Bezirksliga 3 wU18
603159;2020;Bezirksliga 1 wU18
603160;2020;Bezirksliga 2 wU18
603161;2020;Bezirksliga 4 wU18
603162;2020;Bezirksliga 1 wU16
603163;2020;Bezirksklasse 4 Frauen
603164;2020;Bezirksliga 2 wU16
603166;2020;Bezirksliga 3 wU16
603168;2020;Bezirksliga 4 U16
603173;2020;Bezirksliga 14 U14
603174;2020;Bezirksliga 15 U14
603180;2020;Bezirksliga 13 wU18
603181;2020;Bezirksliga 14 wU18
603191;2020;Bezirksliga 3 U14
603192;2020;Kreisliga Hamm - Soest Frauen
603193;2020;Kreisliga Hagen - Märkischer Kreis Frauen
603194;2020;Kreisliga Minden-Ravensberg Frauen
603195;2020;Kreisliga Lippe Frauen
603197;2020;Kreisliga Vest Frauen
603203;2020;Bezirksliga 7 wU20
603204;2020;Bezirksliga 7 U14
603206;2020;Bezirksliga 8 wU16
603207;2020;Kreisliga Unna Frauen
603208;2020;Kreisliga Dortmund - Unna Frauen
603209;2020;Kreisliga Hochsauerlandkreis Frauen
623044;2020;Bezirksliga 7 U13
623045;2020;Bezirksliga 8 U13
623046;2020;Bezirksliga 9 U13
623047;2020;Bezirksliga 10 U13
623049;2020;Bezirksliga 12 U13
623050;2020;Bezirksliga 13 U13
623051;2020;Bezirksliga 14 U13
623052;2020;Bezirksliga 15 U13
623056;2020;Bezirksliga 3 U13
623064;2020;Bezirksliga 4 U13
623068;2020;Bezirksliga 11 U13
624579;2020;Quali A mU13 ZR1
624580;2020;Quali A mU13 ZR2
624581;2020;Quali A mU13 ZR3
624582;2020;Quali A mU13 ZR4
624584;2020;Quali A wU13 ZR1
624585;2020;Quali A wU13 ZR2
624586;2020;Quali A wU13 ZR3
624587;2020;Quali A wU13 ZR4
624590;2020;Quali A wU13 ZR5
624591;2020;Quali A wU13 ZR6
624592;2020;Quali A wU13 ZR7
624593;2020;Quali A wU13 ZR8
624596;2020;Quali A wU20 ZR1
624597;2020;Quali A wU20 ZR2
624598;2020;Quali A wU20 ZR3
624599;2020;Quali A wU20 ZR4
624600;2020;Quali A wU20 ZR5
624601;2020;Quali A wU20 ZR6
624603;2020;Quali A mU20 ZR1
624604;2020;Quali A mU20 ZR2
624605;2020;Quali A mU20 ZR3
624606;2020;Quali A mU20 ZR4
624609;2020;Quali A wU18 ZR1
624610;2020;Quali A wU18 ZR2
624611;2020;Quali A wU18 ZR3
624614;2020;Quali A wU18 ZR4
624615;2020;Quali A wU18 ZR5
624616;2020;Quali A wU18 ZR6
624617;2020;Quali A mU18 ZR1
624618;2020;Quali A mU18 ZR2
624619;2020;Quali A mU18 ZR3
624620;2020;Quali A mU18 ZR4
625041;2020;Quali A wU16 ZR1
625042;2020;Quali A wU16 ZR2
625043;2020;Quali A wU16 ZR3
625044;2020;Quali A wU16 ZR4
625045;2020;Quali A wU16 ZR5
625047;2020;Quali A mU16 ZR1
625048;2020;Quali A mU16 ZR2
625049;2020;Quali A mU16 ZR3
625050;2020;Quali A mU16 ZR4
625051;2020;Quali A mU16 ZR5
625052;2020;Quali A mU14 ZR1
625053;2020;Quali A mU14 ZR2
625054;2020;Quali A mU14 ZR3
625055;2020;Quali A mU14 ZR4
625056;2020;Quali A mU14 ZR5
625060;2020;Quali A wU14 ZR1
625061;2020;Quali A wU14 ZR2
625062;2020;Quali A wU14 ZR3
625063;2020;Quali A wU14 ZR4
625064;2020;Quali A wU14 ZR5
625065;2020;Quali A wU14 ZR6
625067;2020;Quali A wU14 ZR7
625068;2020;Quali A wU14 ZR8
626888;2020;Quali B wU18 ZR1
626889;2020;Quali B wU18 ZR2
626890;2020;Quali B wU18 ZR3
626891;2020;Quali B wU18 ZR4
626893;2020;Quali B mU18 ZR1
626895;2020;Quali B mU18 ZR2
626897;2020;Quali B mU18 ZR3
626898;2020;Quali B mU18 ZR4
626899;2020;Quali B wU20 ZR1
626900;2020;Quali B wU20 ZR2
626901;2020;Quali B wU20 ZR3
626902;2020;Quali B wU20 ZR4
626903;2020;Quali B mU20 ZR1
626904;2020;Quali B mU20 ZR2
626905;2020;Quali B mU20 ZR3
626906;2020;Quali B mU20 ZR4
626907;2020;Quali B mU16 ZR1
626908;2020;Quali B mU16 ZR2
626909;2020;Quali B mU16 ZR3
626910;2020;Quali B mU16 ZR4
626911;2020;Quali B wU16 ZR1
626912;2020;Quali B wU16 ZR2
626913;2020;Quali B wU16 ZR3
626914;2020;Quali B wU16 ZR4
627110;2020;Bezirksmeisterschaft Westfalen-Süd männliche U12
627111;2020;Quali B wU14 ZR1
627113;2020;Quali B wU14 ZR2
627114;2020;Quali B wU14 ZR3
627115;2020;Quali B wU14 ZR4
627116;2020;Quali B mU14 ZR1
627117;2020;Quali B mU14 ZR2
627118;2020;Quali B mU14 ZR3
627120;2020;Quali B wU13 ZR1
627121;2020;Quali B wU13 ZR2
627122;2020;Quali B wU13 ZR3
627123;2020;Quali B wU13 ZR4
627124;2020;Quali B mU13 ZR1
627125;2020;Quali B mU13 ZR2
627126;2020;Quali B mU13 ZR3
627191;2020;Quali A mU12 ZR2
627218;2020;Bezirksmeisterturnier mU12
627220;2020;Bezirksmeisterturnier wU12
627253;2020;Bezirksliga 13 U14
627260;2020;Bezirksliga 4 wU20
627261;2020;Bezirksliga 5 wU16
627269;2020;Oberliga 1 U14
627271;2020;Oberliga 2 U14
627273;2020;Bezirksliga 1 U14
627274;2020;Bezirksliga 2 U14
632091;2020;NRW-Liga U14 West
632092;2020;NRW-Liga U14 Ost
632097;2020;Bezirksliga 5 U16
632099;2020;Bezirksliga 6 U16
632102;2020;Bezirksliga 1 U16
632106;2020;Oberliga 3 Männer
632107;2020;Landesliga 9 Männer
632108;2020;Bezirksliga 1 mU20
632109;2020;Bezirksliga 2 mU18
632111;2020;Verbandsliga 5 Frauen
632112;2020;Bezirksliga 4 wU16
632113;2020;Bezirksliga 3 U16
632115;2020;Bezirksliga 2 Männer
632116;2020;Bezirksliga 12 Frauen
632117;2020;Bezirksliga 18 Frauen
632120;2020;Bezirksliga 17 wU16
632145;2020;WVV-Kreispokal Westfalen-Nord Frauen
645977;2020;Bezirksliga 5 U13
646008;2020;Bezirksliga 5 U12
649843;2020;Quali A mU16 ZR6
650031;2020;Quali A wU14 ZR9
650038;2020;Quali B wU14 ZR5
650039;2020;Quali B wU14 ZR6
650041;2020;Quali B mU14 ZR5
650042;2020;Quali B mU14 ZR4
650058;2020;Quali A mU12
650068;2020;Quali B mU13 ZR4
699498;2020;Bezirksklasse 9 Frauen
699499;2020;Bezirksklasse 12 Frauen
699501;2020;Bezirksklasse 15 Frauen
699503;2020;Bezirksklasse 20 Männer
699505;2020;Bezirksliga 5 wU18
