;; Stand 7.7.2017
;; https://www.volleyball.nrw/fileadmin/user_upload/%C3%9Cbersicht_wvv_ligen_2016.pdf
;; über https://www.volleyball.nrw/spielwesen/phoenixaufsteiger/ergebnisdienst/
61243;BFS-Ruhr Mixed Duisburg Stadtklasse;
57314;NRW-Liga MU18;
57321;Oberliga 1 MU18;
57322;Oberliga 2 MU18;
57326;Oberliga 3 MU18;
57327;Oberliga 4 MU18;
61518;Oberliga 5 MU18;
58020;Oberliga 6 MU18;
57315;NRW-Liga MU16;
57329;Oberliga 1 MU16;
57330;Oberliga 2 MU16;
57337;Oberliga 3 MU16;
61520;Oberliga 4 MU16;
57340;Oberliga 5 MU16;
59915;BFS-Rheinland Männer Landesliga;
59892;BFS-Rheinland Männer Bezirksliga 1;
59943;BFS-Rheinland Männer Bezirksliga 2;
59893;BFS-Rheinland Männer Bezirksklasse 1;
59895;BFS-Rheinland Männer Bezirksklasse 2;
59941;BFS-Rheinland Männer Bezirksklasse 3;
59942;BFS-Rheinland Männer Bezirksklasse 4;
60100;BFS-Ruhr Männer Kleve Kreisliga 1;
61880;BFS-Ruhr Männer Neuss/Grevenbroich Kreisliga;
61116;BFS-Westf.Ost Männer Höxter Kreisliga;
60118;BFS-Westf.Ost Männer Minden-Ravensberg Kreisliga;
60119;BFS-Westf.Süd Männer Unna Kreisliga;
60111;BFS-Ruhr Männer Kleve Kreisliga 2;
61106;BFS-Ruhr Männer Duisburg Stadtliga;
61242;BFS-Ruhr Männer Duisburg Stadtklasse;
59956;BFS-Rheinland Frauen Landesliga;
59957;BFS-Rheinland Frauen Bezirksliga;
60080;BFS-Ruhr Frauen Kleve Kreisliga 1;
60203;BFS-Westf.Ost Frauen Höxter Kreisliga;
60109;BFS-Ruhr Frauen Kleve Kreisliga 2;
61105;BFS-Ruhr Frauen Duisburg Stadtliga;
311;Regionalliga West Frauen;
363;Relegation Regionalliga West Frauen;
313;Oberliga 1 Frauen;
361;Relegation Oberliga 1 Frauen;
307;Oberliga 2 Frauen;
362;Relegation Oberliga 2 Frauen;
339;Verbandsliga 1 Frauen;
337;Verbandsliga 2 Frauen;
340;Verbandsliga 3 Frauen;
328;Verbandsliga 4 Frauen;
345;Landesliga 1 Frauen;
409;Landesliga 2 Frauen;
58215;Landesliga 3 Frauen;
381;Landesliga 4 Frauen;
446;Landesliga 5 Frauen;
447;Landesliga 6 Frauen;
431;Landesliga 7 Frauen;
372;Landesliga 8 Frauen;
410;Bezirksliga 1 Frauen;
412;Bezirksliga 2 Frauen;
413;Bezirksliga 3 Frauen;
389;Bezirksliga 5 Frauen;
394;Bezirksliga 6 Frauen;
395;Bezirksliga 7 Frauen;
330;Bezirksliga 8 Frauen;
453;Bezirksliga 4 Frauen;
59455;Bezirksliga 9 Frauen;
454;Bezirksliga 10 Frauen;
451;Bezirksliga 11 Frauen;
487;Bezirksliga 12 Frauen;
463;Bezirksliga 13 Frauen;
468;Bezirksliga 14 Frauen;
375;Bezirksliga 15 Frauen;
384;Bezirksliga 16 Frauen;
419;Bezirksklasse 1 Frauen;
387;Bezirksklasse 2 Frauen;
415;Bezirksklasse 3 Frauen;
417;Bezirksklasse 4 Frauen;
420;Bezirksklasse 6 Frauen;
480;Bezirksklasse 8 Frauen;
397;Bezirksklasse 10 Frauen;
403;Bezirksklasse 11 Frauen;
406;Bezirksklasse 13 Frauen;
407;Bezirksklasse 14 Frauen;
416;Bezirksklasse 16 Frauen;
481;Bezirksklasse 17 Frauen;
60217;Bezirksklasse 18 Frauen;
482;Bezirksklasse 19 Frauen;
489;Bezirksklasse 20 Frauen;
441;Bezirksklasse 21 Frauen;
467;Bezirksklasse 22 Frauen;
491;Bezirksklasse 23 Frauen;
492;Bezirksklasse 24 Frauen;
442;Bezirksklasse 25 Frauen;
443;Bezirksklasse 26 Frauen;
466;Bezirksklasse 27 Frauen;
469;Bezirksklasse 28 Frauen;
385;Bezirksklasse 29 Frauen;
386;Bezirksklasse 30 Frauen;
